,article,date,comments
58,휴학하고 에타 처음 들어온다하는커뮤도 딱히 바쁜친구들에게 시덥잖은 얘기하기도그래서 여기에 몇자 적어본다졸업할나이가되었는데 요즘 드는생각은참 마음편히 공부할수있는 조건이 부럽다어쩌다 나는 이렇게된건지운좋게 편한알바를 구했지만 요즘 물가생각하면점심도 건너뛰거나 라면으로 끼니를 퉁친다요즘들어 뭔가 목표를정하고열심히달리는 열정맨들을보면 다시 어깨가 내려간다불확실한미래를 향해 자격증시험이든학교시험이든 열심히하는 사람들보면 부럽고 참 대단하다난 그럴 집중력도 체력도 정신력도 이미 잃었어약먹다가 죽을고비넘겨봐서 약은 끊어서 안다난 스스로 일어날수없는 인간이야...매일 방문옷걸이에 수건에목매달아보는 상상만한다그래도 세상에재밌는건많으니까 죽지는않을거다의욕상실이 너무힘들다 누가 맞춤형 우울증약좀 개발해줬으면좋겠어 약은 기분이풀리지만 부작용때문에 정상생활이 안되거든.아...매일취업에대한 무게는 늘어나고 의욕은상실되고자존감 자신감 사라지고경제적부담은커지고학교공부로 취업을 살리기는어려울정도로 학교생활에 집중하지못했고....글렀다. 누군가 날 질질끌어서 명령내려줬으면 좋겠다.이젠 삼각김밥에 초코우유하나로 한끼하는것도 사치같다.,22/12/20 00:46,['힘내']
59,오늘 죽고싶다나 오늘 생일이거든,22/12/20 00:19,['생일 축하한다.']
60,너무너무 죽고싶은데 아플 것 같아서 죽을 용기도 없어 열일곱살 때부터 이렇게 살아왔음..새벽 되면 충동이 더 심해져 그냥 뛰어내리고 싶다,22/12/19 22:27,"['삭제된 댓글입니다.', '오 너도구나 많이 힘들었겠다', '그렇구나.. 나도 매일매일 미친듯이 울 때가 있었는데 이젠 그냥 무기력해ㅎ 이해가 간다']"
61,곧 교환학생 가는데 거기서 자살할 생각하니까 심장이 뛰어 너무너무 우울하고 무기력했는데 이젠 거기 가고 싶어지고 그때까지 살 희망이 들어,22/12/19 15:18,['제발 자살하지마 거기서 재밌는 하루하루살다가 돌아오길 진심으로 바래']
62,우울 삽화 와서 금토일 공부 하나도 안 함당장 오늘 시험인데 어캄,22/12/18 23:58,[]
63,본인 친구 0명인데 정상임?,22/12/18 19:57,"['나도 그래', 'ㅜㅜ']"
64,현실도피 증상인지 계속 꿈을 꾸려고 하고 10시간 넘게 과수면하는 습관이 생겨버림,22/12/18 12:16,"['나다 너무 나다', '삭제된 댓글입니다.', '증상 중 하나', '나도', '나두']"
65,중증으로 와버린것 같은데그냥 아무이유 없는데 안좋은 생각나...진짜 평온한 삶인데 죽고싶어...,22/12/17 13:53,[]
66,죽고싶다,22/12/16 04:46,['무슨 일이야']
67,"맨날 화내는 건 나뿐. 우는 건 나뿐. 아무도 날 달래려하지 않아 관심도 없어 그게 예전에는 가족들을 미워하는 동기였지만 지금은 내가 이상한 사람인건가 라고 생각하게 되는 동기. 어릴때부터 동생 앞에서 울어버리는 내가 너무 수치스럽고 죽고싶었고 울면 다냐고 소리치는 부모님을 정말로 원망하게 되고 나를 혼내는 부모님도 흥미롭게 바라보고 있을 뿐인 동생도 이런 식으로 태어난  나 자신도 모두 원망스럽고 사라졌으면 좋겠다고 생각하게 되버린다. 울컥해지는 말을 들으면 가슴이 울렁거리고 눈물이 맺히고 콧물도 추하게 흘러내리고 시뻘겋게 변한 내 모습이 싫고 집에서 쫓겨났을때 엘리베이터에서 마주친 사람이 그런 내 모습을 보는 것도 싫어. 모든 게 싫은 내가 싫어.내가 아무리 슬프고 화가 나도 나오는 목소리는 추하고 머릿속으로 생각이 제대로 정리가 되지 않아. 몇시간 지나고 나서야 내 의견을 정리할 수 있지만 바로 반박. 머리가 느린 나는 올바른 답을 찾아도 순간적으로 생각나지 않아서 조금 고민해야 해. 하지만 그 고민하고 고민한 내 진심을 나중에 말한다는 것은 구질구질하고 찌질하다는 것으로 보일 뿐임을 알고있어. 옳은 답을 내도 상대는 자신이 뭐라했는지 기억하지도 못하고 때로는 역으로 내 기억이 잘못되었다고 탓하지. 그럼 난 또 잘못한 건 난가 라는 생각이 들게 돼.물론 내 잘못은 있을거야. 근데 모든 게 내 잘못은 아닐거라고 믿고 있는데 어디서도 내 잘못이 아니라 자기잘못이라 말하는 이는 없어서. 사과하는 사람도 없어서. 그냥  툭하면 찌질하게 울면 단 줄 아는 애새끼의 말도 안되는 헛소리에 불과하다고 생각한다는 걸 알고 있어. 내 슬픔이 이유없는 따돌림 이런 것이 아닌 이유있는 따돌림에서 기인하고 있을까 두려워. 하지만 나를 제외한 가족들은 정상적인 삶을 살고 있고 나만 불안한 사회성을 가지고 있다는 것이 그걸 어느정도 반증하고 있어. 원망을 그들에게 돌리지말고 이때까지 자라오면서 어떤 문제가 있는지 스스로 깨닫지 못한 나 자신에게 돌려야 한다고 내 이성은 말하고 있어. 노력하고 있어 늘 더 나은 내가 될 수 있도록. 하지만 원망과 동시에 자책을 하고 있어서 죽을 것 같아. 지 잘못인지도 모르고 남탓하던 나의 모습에 더더욱 자책을 하게 되고 자책할 일이 아닌데도 자책하는 나를 만든 것에 더더욱 원망하게 되고. 그 두 상황이 기분에 따라 계속 반복하면서 바뀌어가. 그런 이해할 수 없는, 이해해주고 싶지도 않은 병신 또라이 쓰레기 찌질이 새끼의 감정을 누가 공감하면서 달래주겠어, 안 그래?  그러니까 결국 누구한테도 말 못하고 병신같이 이 새벽에 여기와서 찌질하게 타자나 치고 지랄인거잖아. 맨날 괴상한 짓만 하고 그 속내라던가 그렇게 된 사연이라던가 따위는 누구도 궁금하지 않을 그런 추한 나는 다 뽑아내고 나머지의 나만 살아갔으면 좋겠어. 그냥 넘기고 이겨낼 수 있는 남들과는 다르게 마음에 담아두고 혼자 오해하고 혼자 화내다 혼자 원망하는 병신같은 나는 없어지면 좋겠어.이런 게 우울인지 아닌지도 모르겠어.그냥 자기연민이라고 하던데 누군가는...그럼 난 우울한 척 그런 나에 취해 주저리 헛소리만 말하며 자기연민 중인 상병신새끼인거겠지...",22/12/16 02:53,"['있잖아 너가 힘든 이유를 너에게서 찾지 않았으면 좋겠어 너가 상황을 벗어나기위해 노력을 했으면 충분히 너를 토닥여줘 가족 문제가 참 쉽지 않지? 지금의 나도 너랑 비슷한 상황이라 공감은 가 그래도 너가 숨쉴 수 있는 구멍을 찾아서 너가 덜 스트레스 받으면 좋겠어', '근데 그러다가 뭔가 좆도 불쌍하지않은데 스스로 괴로운 인생인척 포장하고 위로하는 같잖은 인간일지도 모르겠다는 생각이 이어서 들어서 금방 또 비난하게 되고..  사실 아직도 잘 모르겠어. 객관적으로 누가 몇퍼센트로 이정도 이 부분에 대해선 잘못했는지 알 수가 없어서... 내가 싫어하는 잘못을 인정하지 않는 사람들과 사실은 내가 같을까봐... 또 사실은 노력을 그렇게 열심히 했냐 하면 그렇지 않음을 알거든... 내 나름대로는 했지만 사실은 게으르고 지속적이지 않고 효과적이지 않은 노력이었거든. 그래서 나 편하자고 이유를 남에게서 찾지는 못하는 것 같다. 진짜로 객관적으로 이건 남 때문이다 라고 생각해서 그러는 것 빼고... 위로해줘서 고마워. 나는 추잡한 인간이라 어느 세상에 나같은 사람이 있다는 것만으로도 안심이 되고 살아갈 수 있는 위로가 되어서 이런 이기적인 마음이 너에겐 역겨울 수 있지만 그래도 이런 댓글 달아준거 정말 고마워....', '사랑해 고마워', '무엇에 기인한건지는 정확하게 파악하지 못했지만 너가 사랑하고 고맙다해줘서 기쁘다. 나도 사랑하고 고맙다']"
68,내가 생각해도 나 제정신 아닌 거 같음.도대체 뭐하자는 거지?,22/12/15 13:06,[]
69,진짜 ㅈ같이 우울해 진짜 공부해야 되는데 계속 눈물만 나와,22/12/15 05:03,"['고생했어 정말', '아이고 지금 봤네,, 너무 고마워\U0001f972\U0001f972']"
70,아씨 공부가 안돼... 우울증약 탓은 아니고 그냥 조오오오온나 게으르다 어카냐,22/12/13 18:01,[]
71,의지할 주변인이란 게 존재할 수 있을까? 친구든 가족이든… 내가 힘든 걸 털어놓으면 결국 그들을 내 감정 쓰레기통으로 만들게 될 거니까 아무한테도 못 털어놓겠어 그렇다고 상담? 할 일 많아서 그런 데다 시간이랑 돈을 쓸 수도 없어 그래서 사람들 앞에선 멀쩡히 보이는 것처럼 지내다 혼자 남겨지면 항상 우울해지고 죽고 싶다는 생각만 드는 거 같아,22/12/13 03:35,"['학교 상담센터 이용해보면 어때? 무료고 상담사님이랑은 상담 끝나면 안볼 사이라 내얘기 더 편하게 할 수  있어. 상담 내용이 유출될 걱정도 없고, 혹시나 내 고민이 가십거리로 소비될까, 혹은 타인에게 동정심을 유발할까 신경쓰지 않아도 돼. 상담받는다고 우울함이 완전히 사라지진 않겠지만, 혼자 마음속에 담아 두는 것보단 나을거야. 그리고 그 정도로 힘들면 휴학을 하든, 일주일에 1시간만이라도 시간 내서 상담을 받든 하는게 좋을 것 같아. 한학기 전의 내 모습이랑 비슷해서 오지랖좀 부려봤는데, 우울함에서 벗어나는걸 0순위로 생각하고 살면 좀 나아지긴 하더라. 어떨 땐 살만하다는 생각도 들 정도로.  용수철처럼 원래대로 돌아올 때도 있지만 열번 우울할거 다섯번 우울할 수 있으면 지금보단 좀 더 행복한 삶을 살 수 있지 않을까', '우와… 이렇게까지 정성스럽게 조언해 주다니 진짜 진심으로 감동인걸😭 맞아 사실 학교 상담센터도 생각해 봤었는데 그런다고 괜찮아지는 게 있을까? 싶어서 안 가봤거든 유경험자가 이렇게 말해주니까 한 번 쯤은 꼭 가봐야겠다는 생각이 드네. 그리고 휴학 얘기 꺼내서 하는 말인데 사실 다음 학기에 휴학하고 해외 가긴 해…! 우울해서 가는 건 아니고 전공어 공부하러 가는 거긴 하지만,, 그리고 마지막 문장 정말 와닿는다. 용수철처럼 돌아올 때도 있지만 열 번 우울할 거 다섯 번 우울할 수 있으면 지금보단 행복한 삶을 살 수 있다… 그러네. 좋은 말 해줘서 너무 고마워 익명1아 너는 열 번 우울할 거 한 번만 우울했으면 좋겠다', '외국 나가는구나! 공부하러 가는 거지만 머리도 식히고 너한테 치유의 시간이 되면 좋겠다. 나도 좋은 말 해줘서 고마워🙂  좋은 상담사님 만나는 것도 중요한데, 너한테 잘 맞는 분과 매칭되길 바랄게. 행복하자!', '으엥 공부 때문에 바빠서 이제 봤다 ㅠㅠ 너무 고마워🍀🍀👊👊💕']"
72,사는 이유가 뭔지 모르겠다,22/12/13 03:26,[]
73,스위스 디그니타스 씨발년들아 맘대로 안락사 하지도 못하게할거면 홈페이지랑 가입비랑 왜 만들어놨어 개씨발년들,22/12/12 16:17,[]
74,근무지 옮기고 우울증 거의 다 나았다 역시 원인을 제거해야되,22/12/12 14:27,"['어떤 근무지? 공익?', 'ㅇㅇ', '난 정신과 4급임님도?', 'ㄴㄴ 돼공 그래서 특수학교 같다가 우울증생김']"
75,몇 층에서 떨어져야 죽을까,22/12/06 01:43,[]
76,죽고 싶다그냥 죽고 싶다,22/12/02 11:05,[]
77,진짜 자살하고 싶다 제대로 하는 게 아무것도 없고 할 건 졸라 많아서 매일매일이 벅차다 씨발 진짜...,22/11/30 05:30,[]
78,우울증탓하면서 기말 시원하게 말이먹고 휴학내고 싶다...,22/11/29 12:34,['내 미래군']
79,의욕도 없고... 뭔가 학점 망하면 의욕은 더 떨어질거 같고... 미래도 불안하고,22/11/28 14:34,[]
80,생각이 삐뚤어진 건 바로 잡히는 데 얼만큼의 노력과 시간이 필요한 걸까,22/11/28 00:05,[]
81,나는 그 무엇도 누릴 자격이 없는 사람인데 부모님이 자꾸 날  품어주시니까  너무 미안하다,22/11/27 02:22,[]
82,"객관적으로 힘들다는 걸 입증하고 싶어하는 것 같다. 대체 왜? 무엇을 위해서? 이해할 수 없어. 날카로운 말들에서 독립적일 수 없으니까, 이겨내는 거 말고 다른 방법을 알고 싶으니까.  모르겠다",22/11/24 19:00,[]
83,나아지질 않는군..,22/11/24 18:55,[]
84,"우리집은 나 초3때부터 울면 혼나가지고 부모님 앞에서 한번도 운적도 없고 우울한 티도 내면 안됐는데, 정신과 가면 부모님이 노발대발하고 난리피우실게 뻔해서 가는게 너무 무서워",22/11/21 17:04,['몰래 가자 너가 제일 먼저야']
85,나아지기보다 더 나빠지기싫어서 찾은 정신건강의학과경제적으로는 어떤 부담이 따를지복용량과 기간은 얼마나 되는지나아지는 점은 무엇이고부작용은 어떤 점이 있을 수 있는지반추로 인해 앞을 내다보는 사고가 힘들었다지만 별 생각없이 접한 설트랄린잠시 먹다보니 더 길게 먹고 싶지 않았고 단약을 상의없이 한 채로 외래도 가지 않고 있다.빈자리를 대체한 건 영양제와 조금의 운동더하고 싶은 건 더 많은 운동과 공부인데 쉽지 않다.그래서 밀가루랑 당을 멀리하고 싶다. 그러고 싶다.,22/11/21 13:44,"['중고등학교부터 계획세워서 들어맞은 적이 한 번도 없었던 것 같은데 오늘 여유있게 실천됐다. 남은 하루도 열심히 살아보자!', '어제 자기 전 계획한 75분 태우기']"
86,약 먹은지 네 달째모르겠다 나도 나를괜찮아진 것 같다가도 문득문득 끝없이 우울해진다그냥 내가 우울증을 핑계로 나의 행동을 자기합리화 하고 있는건 아닌건지 의심이 간다,22/11/21 01:31,"['나는 약 끊고 비슷한데', '잘 살려면 합리화가 어느정도 필요한 거 같은데 강박적으로 하면 죄라고 느끼는 게 문제라고 생각된다', '사실 제일 힘든 건 뭘하든 다른 게 나아보이고 집중하기가 힘들다는 거', '그 생각 하면 우울증임']"
87,설캠앞에 서울현정신과 여기 괜찮나요ㅡ?,22/11/20 22:27,"['별로래요... 저는 청량리 다니는 중', '가지마요 제발.. 모든 케이스를 본인이 소속된 곳에서 연구중인 학설에 맞춰 일반화하려고해요']"
88,내가 자취방에서 어느 날 죽어도 아무도 모르겠지,22/11/20 19:41,[]
